english,spanish,portuguese,example_en,example_es,example_pt,source,tags
abstract,resumen,resumo,The authors described abstract in the methods and results sections.,Los autores describieron resumen en las secciones de métodos y resultados.,Os autores descreveram resumo nas seções de métodos e resultados.,Medical exam-style example,study
background,antecedentes,contexto / antecedentes,The authors described background in the methods and results sections.,Los autores describieron antecedentes en las secciones de métodos y resultados.,Os autores descreveram contexto / antecedentes nas seções de métodos e resultados.,Medical exam-style example,study
objective,objetivo,objetivo,The authors described objective in the methods and results sections.,Los autores describieron objetivo en las secciones de métodos y resultados.,Os autores descreveram objetivo nas seções de métodos e resultados.,Medical exam-style example,study
aim,objetivo / propósito,objetivo / finalidade,The authors described aim in the methods and results sections.,Los autores describieron objetivo / propósito en las secciones de métodos y resultados.,Os autores descreveram objetivo / finalidade nas seções de métodos e resultados.,Medical exam-style example,study
purpose,propósito,propósito,The authors described purpose in the methods and results sections.,Los autores describieron propósito en las secciones de métodos y resultados.,Os autores descreveram propósito nas seções de métodos e resultados.,Medical exam-style example,study
methods,métodos,métodos,The authors described methods in the methods and results sections.,Los autores describieron métodos en las secciones de métodos y resultados.,Os autores descreveram métodos nas seções de métodos e resultados.,Medical exam-style example,study
materials,materiales,materiais,The authors described materials in the methods and results sections.,Los autores describieron materiales en las secciones de métodos y resultados.,Os autores descreveram materiais nas seções de métodos e resultados.,Medical exam-style example,study
results,resultados,resultados,The authors described results in the methods and results sections.,Los autores describieron resultados en las secciones de métodos y resultados.,Os autores descreveram resultados nas seções de métodos e resultados.,Medical exam-style example,study
conclusion,conclusión,conclusão,The authors described conclusion in the methods and results sections.,Los autores describieron conclusión en las secciones de métodos y resultados.,Os autores descreveram conclusão nas seções de métodos e resultados.,Medical exam-style example,study
discussion,discusión,discussão,The authors described discussion in the methods and results sections.,Los autores describieron discusión en las secciones de métodos y resultados.,Os autores descreveram discussão nas seções de métodos e resultados.,Medical exam-style example,study
introduction,introducción,introdução,The authors described introduction in the methods and results sections.,Los autores describieron introducción en las secciones de métodos y resultados.,Os autores descreveram introdução nas seções de métodos e resultados.,Medical exam-style example,study
sample,muestra,amostra,The authors described sample in the methods and results sections.,Los autores describieron muestra en las secciones de métodos y resultados.,Os autores descreveram amostra nas seções de métodos e resultados.,Medical exam-style example,study
sample size,tamaño de la muestra,tamanho da amostra,The authors described sample size in the methods and results sections.,Los autores describieron tamaño de la muestra en las secciones de métodos y resultados.,Os autores descreveram tamanho da amostra nas seções de métodos e resultados.,Medical exam-style example,study
population,población,população,The authors described population in the methods and results sections.,Los autores describieron población en las secciones de métodos y resultados.,Os autores descreveram população nas seções de métodos e resultados.,Medical exam-style example,study
cohort,cohorte,coorte,The authors described cohort in the methods and results sections.,Los autores describieron cohorte en las secciones de métodos y resultados.,Os autores descreveram coorte nas seções de métodos e resultados.,Medical exam-style example,study
case-control study,estudio de casos y controles,estudo de caso-controle,The authors described case-control study in the methods and results sections.,Los autores describieron estudio de casos y controles en las secciones de métodos y resultados.,Os autores descreveram estudo de caso-controle nas seções de métodos e resultados.,Medical exam-style example,study
cross-sectional study,estudio transversal,estudo transversal,The authors described cross-sectional study in the methods and results sections.,Los autores describieron estudio transversal en las secciones de métodos y resultados.,Os autores descreveram estudo transversal nas seções de métodos e resultados.,Medical exam-style example,study
prospective study,estudio prospectivo,estudo prospectivo,The authors described prospective study in the methods and results sections.,Los autores describieron estudio prospectivo en las secciones de métodos y resultados.,Os autores descreveram estudo prospectivo nas seções de métodos e resultados.,Medical exam-style example,study
retrospective study,estudio retrospectivo,estudo retrospectivo,The authors described retrospective study in the methods and results sections.,Los autores describieron estudio retrospectivo en las secciones de métodos y resultados.,Os autores descreveram estudo retrospectivo nas seções de métodos e resultados.,Medical exam-style example,study
observational study,estudio observacional,estudo observacional,The authors described observational study in the methods and results sections.,Los autores describieron estudio observacional en las secciones de métodos y resultados.,Os autores descreveram estudo observacional nas seções de métodos e resultados.,Medical exam-style example,study
systematic review,revisión sistemática,revisão sistemática,The authors described systematic review in the methods and results sections.,Los autores describieron revisión sistemática en las secciones de métodos y resultados.,Os autores descreveram revisão sistemática nas seções de métodos e resultados.,Medical exam-style example,study
meta-analysis,metaanálisis,metanálise,The authors described meta-analysis in the methods and results sections.,Los autores describieron metaanálisis en las secciones de métodos y resultados.,Os autores descreveram metanálise nas seções de métodos e resultados.,Medical exam-style example,study
case report,reporte de caso,relato de caso,The authors described case report in the methods and results sections.,Los autores describieron reporte de caso en las secciones de métodos y resultados.,Os autores descreveram relato de caso nas seções de métodos e resultados.,Medical exam-style example,study
case series,serie de casos,série de casos,The authors described case series in the methods and results sections.,Los autores describieron serie de casos en las secciones de métodos y resultados.,Os autores descreveram série de casos nas seções de métodos e resultados.,Medical exam-style example,study
intervention,intervención,intervenção,The authors described intervention in the methods and results sections.,Los autores describieron intervención en las secciones de métodos y resultados.,Os autores descreveram intervenção nas seções de métodos e resultados.,Medical exam-style example,study
