english,spanish,portuguese,example_en,example_es,example_pt,source,tags
cardiovascular disease,enfermedad cardiovascular,doença cardiovascular,The GRADE analysis examined cardiovascular disease across the treatment groups.,El análisis GRADE examinó enfermedad cardiovascular entre los grupos de tratamiento.,A análise GRADE examinou doença cardiovascular entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
major cause,causa principal,causa importante / principal,The GRADE analysis examined major cause across the treatment groups.,El análisis GRADE examinó causa principal entre los grupos de tratamiento.,A análise GRADE examinou causa importante / principal entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
morbidity,morbilidad,morbidade,The GRADE analysis examined morbidity across the treatment groups.,El análisis GRADE examinó morbilidad entre los grupos de tratamiento.,A análise GRADE examinou morbidade entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
glucose-lowering medication,medicamento hipoglucemiante,medicamento redutor de glicose,The GRADE analysis examined glucose-lowering medication across the treatment groups.,El análisis GRADE examinó medicamento hipoglucemiante entre los grupos de tratamiento.,A análise GRADE examinou medicamento redutor de glicose entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
low cardiovascular risk,bajo riesgo cardiovascular,baixo risco cardiovascular,The GRADE analysis examined low cardiovascular risk across the treatment groups.,El análisis GRADE examinó bajo riesgo cardiovascular entre los grupos de tratamiento.,A análise GRADE examinou baixo risco cardiovascular entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
treatment group,grupo de tratamiento,grupo de tratamento,The GRADE analysis examined treatment group across the treatment groups.,El análisis GRADE examinó grupo de tratamiento entre los grupos de tratamiento.,A análise GRADE examinou grupo de tratamento entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
randomly assigned,asignado aleatoriamente,designado aleatoriamente,The GRADE analysis examined randomly assigned across the treatment groups.,El análisis GRADE examinó asignado aleatoriamente entre los grupos de tratamiento.,A análise GRADE examinou designado aleatoriamente entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
insulin glargine,insulina glargina,insulina glargina,The GRADE analysis examined insulin glargine across the treatment groups.,El análisis GRADE examinó insulina glargina entre los grupos de tratamiento.,A análise GRADE examinou insulina glargina entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
glimepiride,glimepirida,glimepirida,The GRADE analysis examined glimepiride across the treatment groups.,El análisis GRADE examinó glimepirida entre los grupos de tratamiento.,A análise GRADE examinou glimepirida entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
liraglutide,liraglutida,liraglutida,The GRADE analysis examined liraglutide across the treatment groups.,El análisis GRADE examinó liraglutida entre los grupos de tratamiento.,A análise GRADE examinou liraglutida entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
sitagliptin,sitagliptina,sitagliptina,The GRADE analysis examined sitagliptin across the treatment groups.,El análisis GRADE examinó sitagliptina entre los grupos de tratamiento.,A análise GRADE examinou sitagliptina entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
baseline metformin,metformina basal,metformina de base,The GRADE analysis examined baseline metformin across the treatment groups.,El análisis GRADE examinó metformina basal entre los grupos de tratamiento.,A análise GRADE examinou metformina de base entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
diabetes duration,duración de la diabetes,duração do diabetes,The GRADE analysis examined diabetes duration across the treatment groups.,El análisis GRADE examinó duración de la diabetes entre los grupos de tratamiento.,A análise GRADE examinou duração do diabetes entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
cerebrovascular accident,accidente cerebrovascular,acidente cerebrovascular,The GRADE analysis examined cerebrovascular accident across the treatment groups.,El análisis GRADE examinó accidente cerebrovascular entre los grupos de tratamiento.,A análise GRADE examinou acidente cerebrovascular entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
