id,english,spanish,portuguese,example_en,example_es,example_pt,source,tags
card-79891e980747ffbd,trial,ensayo clínico,ensaio clínico,The trial compared therapeutic-dose heparin with standard care.,El ensayo clínico comparó heparina en dosis terapéutica con la atención estándar.,O ensaio clínico comparou heparina em dose terapêutica com o cuidado padrão.,Adapted from practice text,study
card-5fbcc8584051223e,randomised trial,ensayo clínico aleatorizado,ensaio clínico randomizado,Patients were enrolled in a randomised trial after hospital admission.,Los pacientes fueron incluidos en un ensayo clínico aleatorizado después de la internación.,Os pacientes foram incluídos em um ensaio clínico randomizado após a internação.,Practice-style example,study
card-25a63e52a98f6fda,outcome,desenlace,desfecho,Thrombotic complications were associated with poor outcomes.,Las complicaciones trombóticas se asociaron con malos desenlaces.,As complicações trombóticas foram associadas a piores desfechos.,Adapted from practice text,results
card-e622b376c824e344,clinical outcome,desenlace clínico,desfecho clínico,The investigators evaluated the clinical outcome at 35 days.,Los investigadores evaluaron el desenlace clínico a los 35 días.,Os pesquisadores avaliaram o desfecho clínico aos 35 dias.,Practice-style example,results
card-44660f869e4e519d,bleeding,sangrado,sangramento,Major bleeding was uncommon in the selected patients.,El sangrado mayor fue poco frecuente en los pacientes seleccionados.,O sangramento maior foi pouco frequente nos pacientes selecionados.,Adapted from practice text,safety
card-f80ba0229a636e9d,bleeding risk,riesgo de sangrado,risco de sangramento,Patients with a high bleeding risk were excluded.,Los pacientes con alto riesgo de sangrado fueron excluidos.,Os pacientes com alto risco de sangramento foram excluídos.,Adapted from practice text,safety
card-2295ff7a8bd8b3f2,patient,paciente,paciente,Each patient was assessed before discharge.,Cada paciente fue evaluado antes del alta.,Cada paciente foi avaliado antes da alta.,Practice-style example,general
card-9f9c7cfdeee2409d,patients,pacientes,pacientes,Most patients received anticoagulation during hospitalisation.,La mayoría de los pacientes recibió anticoagulación durante la hospitalización.,A maioria dos pacientes recebeu anticoagulação durante a hospitalização.,Adapted from practice text,general
card-60c411b2baec2ab5,treatment,tratamiento,tratamento,The treatment reduced thrombotic events but increased bleeding.,"El tratamiento redujo los eventos trombóticos, pero aumentó el sangrado.","O tratamento reduziu os eventos trombóticos, mas aumentou o sangramento.",Practice-style example,treatment
card-e47fa9cb980a7360,received treatment,recibió tratamiento,recebeu tratamento,Most patients received treatment after hospital admission.,La mayoría de los pacientes recibió tratamiento después de la internación.,A maioria dos pacientes recebeu tratamento após a internação.,Lesson example,treatment
card-318c5ad51e9b36ff,received,recibió / recibieron,recebeu / receberam,Patients received rivaroxaban after discharge.,Los pacientes recibieron rivaroxabán después del alta.,Os pacientes receberam rivaroxabana após a alta.,Adapted from practice text,verbs
card-6a6ba702490a3747,admission,admisión / internación,admissão / internação,Anticoagulation was started soon after hospital admission.,La anticoagulación se inició poco después de la internación.,A anticoagulação foi iniciada pouco depois da internação.,Practice-style example,hospital
card-cdf40f058827e735,hospital admission,internación hospitalaria,internação hospitalar,The risk score was calculated at hospital admission.,El puntaje de riesgo se calculó al momento de la internación hospitalaria.,O escore de risco foi calculado na admissão hospitalar.,Practice-style example,hospital
card-a4ac536145d6649d,discharge,alta hospitalaria,alta hospitalar,Eligible patients received prophylaxis after discharge.,Los pacientes elegibles recibieron profilaxis después del alta.,Os pacientes elegíveis receberam profilaxia após a alta.,Adapted from practice text,hospital
card-3e49c2a93b391927,hospitalised,hospitalizado / internado,hospitalizado / internado,The study included hospitalised patients with COVID-19.,El estudio incluyó pacientes hospitalizados con COVID-19.,O estudo incluiu pacientes hospitalizados com COVID-19.,Adapted from practice text,hospital
card-48c7fe033cf0297a,high risk,alto riesgo,alto risco,Patients at high risk of venous thromboembolism were considered eligible.,Los pacientes con alto riesgo de tromboembolismo venoso fueron considerados elegibles.,Pacientes com alto risco de tromboembolismo venoso foram considerados elegíveis.,Adapted from practice text,comparison
