english,spanish,portuguese,tags
blood volume,volumen sanguíneo,volume sanguíneo,hematology
donated blood,sangre donada,sangue doado,hematology
clotting agent,agente coagulante,agente coagulante,hematology
regular supply of blood,suministro regular de sangre,fornecimento regular de sangue,hematology
blood components,componentes de la sangre,componentes do sangue,hematology
shelf life,vida útil,vida útil,hematology
lymph node swelling,inflamación de los ganglios linfáticos,inchaço dos linfonodos,infectious-disease
tuberculin testing,prueba de tuberculina,teste tuberculínico,infectious-disease
interferon-gamma blood tests,análisis de sangre de interferón gamma,testes sanguíneos de interferon-gama,infectious-disease
penetrating trauma,traumatismo penetrante,trauma penetrante,trauma
perioperative antibiotics,antibióticos perioperatorios,antibióticos perioperatórios,trauma
infection susceptibility,susceptibilidad a la infección,suscetibilidade à infecção,trauma
low- and middle-income countries,países de ingresos bajos y medios,países de baixa e média renda,nutrition
extremes of malnutrition,extremos de la malnutrición,extremos da má nutrição,nutrition
undernutrition,desnutrición,desnutrição,nutrition
food systems,sistemas alimentarios,sistemas alimentares,nutrition
maternal undernutrition,desnutrición materna,desnutrição materna,nutrition
poor health in offspring,mala salud en la descendencia,saúde precária na descendência,nutrition
harmful health effects,efectos perjudiciales para la salud,efeitos prejudiciais à saúde,nutrition
nutrition reality,realidad nutricional,realidade nutricional,nutrition
low-income,de ingresos bajos,de baixa renda,nutrition
undernourished,desnutrido,desnutrido,nutrition
high-income,de ingresos altos,de alta renda,nutrition
common denominator,denominador común,denominador comum,nutrition
healthy diets,dietas saludables,dietas saudáveis,nutrition
sustainable diets,dietas sostenibles,dietas sustentáveis,nutrition
production and processing,producción y procesamiento,produção e processamento,nutrition
trade and distribution,comercio y distribución,comércio e distribuição,nutrition
pricing,fijación de precios,precificação,nutrition
marketing,comercialización,marketing,nutrition
labelling,etiquetado,rotulagem,nutrition
consumption,consumo,consumo,nutrition
waste,desperdicio,desperdício,nutrition
overweight,sobrepeso,sobrepeso,nutrition
stunted,con retraso del crecimiento,com atraso do crescimento,nutrition
double burden of malnutrition,doble carga de la malnutrición,dupla carga da má nutrição,nutrition
societal changes,cambios sociales,mudanças sociais,nutrition
biological explanation,explicación biológica,explicação biológica,nutrition
policy measures,medidas de política pública,medidas de política pública,nutrition
survey data,datos de encuestas,dados de pesquisas,nutrition
wasting,emaciación,emaciação,nutrition
thinness,delgadez,magreza,nutrition
immunity,inmunidad,imunidade,nutrition
non-communicable diseases,enfermedades no transmisibles,doenças não transmissíveis,nutrition
breastfeeding practices,prácticas de lactancia materna,práticas de amamentação,nutrition
fruits and vegetables,frutas y verduras,frutas e verduras,nutrition
wholegrains,cereales integrales,cereais integrais,nutrition
fibre,fibra,fibra,nutrition
nuts and seeds,frutos secos y semillas,castanhas e sementes,nutrition
animal source foods,alimentos de origen animal,alimentos de origem animal,nutrition
processed meats,carnes procesadas,carnes processadas,nutrition
added sugar,azúcar añadido,açúcar adicionado,nutrition
saturated fat,grasa saturada,gordura saturada,nutrition
trans fat,grasas trans,gordura trans,nutrition
sub-Saharan Africa,África subsahariana,África Subsaariana,nutrition
food system changes,cambios en el sistema alimentario,mudanças no sistema alimentar,nutrition
lifetimes,ciclos de vida,ciclos de vida,nutrition
offspring,descendencia,descendência,nutrition
high-quality diets,dietas de alta calidad,dietas de alta qualidade,nutrition
food production,producción de alimentos,produção de alimentos,nutrition
food processing,procesamiento de alimentos,processamento de alimentos,nutrition
optimal breastfeeding practices,prácticas óptimas de lactancia materna,práticas ideais de amamentação,nutrition
rivaroxaban,rivaroxabán,rivaroxabana,thrombosis
post-discharge thromboprophylaxis,tromboprofilaxis posterior al alta,tromboprofilaxia após a alta,thrombosis
hospitalisation,hospitalización,hospitalização,thrombosis
primary thromboprophylaxis,tromboprofilaxis primaria,tromboprofilaxia primária,thrombosis
SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,thrombosis
prophylactic use,uso profiláctico,uso profilático,thrombosis
standard prophylactic doses,dosis profilácticas estándar,doses profiláticas padrão,thrombosis
in-hospital heparin,heparina intrahospitalaria,heparina intra-hospitalar,thrombosis
extended thrombo-prophylaxis,tromboprofilaxis prolongada,tromboprofilaxia prolongada,thrombosis
venous thromboembolism prophylaxis,profilaxis del tromboembolismo venoso,profilaxia do tromboembolismo venoso,thrombosis
medically ill,paciente con enfermedad médica,paciente clinicamente enfermo,thrombosis
post-hospital discharge,después del alta hospitalaria,após a alta hospitalar,thrombosis
antithrombotic prophylaxis,profilaxis antitrombótica,profilaxia antitrombótica,thrombosis
fatal thromboembolic events,eventos tromboembólicos mortales,eventos tromboembólicos fatais,thrombosis
RT-PCR,RT-PCR,RT-PCR,thrombosis
antigen,antígeno,antígeno,thrombosis
IgM tests,pruebas de IgM,testes de IgM,thrombosis
prophylactic doses,dosis profilácticas,doses profiláticas,thrombosis
parenteral enoxaparin,enoxaparina parenteral,enoxaparina parenteral,thrombosis
subcutaneously,por vía subcutánea,por via subcutânea,thrombosis
unfractionated heparin,heparina no fraccionada,heparina não fracionada,thrombosis
fondaparinux,fondaparinux,fondaparinux,thrombosis
D-dimer,dímero D,dímero D,thrombosis
D-dimer level,nivel de dímero D,nível de dímero D,thrombosis
Doppler ultrasound,ecografía Doppler,ultrassonografia Doppler,thrombosis
pulmonary angiogram CT,angiografía pulmonar por TC,angiografia pulmonar por TC,thrombosis
exclusion criterion,criterio de exclusión,critério de exclusão,thrombosis
thrombotic event,evento trombótico,evento trombótico,thrombosis
treatment regimen,régimen terapéutico,regime terapêutico,thrombosis
prespecified subgroups,subgrupos preespecificados,subgrupos pré-especificados,thrombosis
clinical practice guidelines,guías de práctica clínica,diretrizes de prática clínica,thrombosis
creatinine clearance,depuración de creatinina,depuração de creatinina,thrombosis
arterial and venous,arterial y venoso,arterial e venoso,thrombosis
microvascular thrombi,trombos microvasculares,trombos microvasculares,thrombosis
acute respiratory distress syndrome,síndrome de dificultad respiratoria aguda,síndrome do desconforto respiratório agudo,thrombosis
pathogenesis,patogenia,patogênese,thrombosis
inflammatory response,respuesta inflamatoria,resposta inflamatória,thrombosis
endothelial infection,infección endotelial,infecção endotelial,thrombosis
hypercoagulability,hipercoagulabilidad,hipercoagulabilidade,thrombosis
clinical deterioration,deterioro clínico,deterioração clínica,thrombosis
escalated anticoagulation dose,dosis aumentada de anticoagulación,dose aumentada de anticoagulação,thrombosis
illness severity,gravedad de la enfermedad,gravidade da doença,thrombosis
mechanism of action,mecanismo de acción,mecanismo de ação,thrombosis
therapeutic-dose heparin,heparina en dosis terapéutica,heparina em dose terapêutica,thrombosis
organ support,soporte de órganos,suporte de órgãos,thrombosis
intubation,intubación,intubação,thrombosis
critically ill patients,pacientes en estado crítico,pacientes em estado crítico,thrombosis
probability of harm,probabilidad de daño,probabilidade de dano,thrombosis
oral anticoagulant,anticoagulante oral,anticoagulante oral,thrombosis
parenteral anticoagulant,anticoagulante parenteral,anticoagulante parenteral,thrombosis
severe renal failure,insuficiencia renal grave,insuficiência renal grave,thrombosis
generalisability,generalización de los resultados,generalização dos resultados,thrombosis
low-dose rivaroxaban,rivaroxabán en dosis baja,rivaroxabana em baixa dose,thrombosis
symptomatic and fatal VTE,TEV sintomático y mortal,TEV sintomático e fatal,thrombosis
open-label study,estudio abierto,estudo aberto,thrombosis
thrombotic-related death,muerte relacionada con trombosis,morte relacionada à trombose,thrombosis
risk factors for bleeding,factores de riesgo de sangrado,fatores de risco para sangramento,thrombosis
low bleeding risk,bajo riesgo de sangrado,baixo risco de sangramento,thrombosis
